student_id,product,skill,level,class_id
L2312800972,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2312801002,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2312801090,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2312801090,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2401801684,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2401801684,【e-text】English Advantage Foundation,General English,Level 0,1738
L2401802037,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2401802522,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2401803110,【ショート16】English Advantage Foundation,General English,Level 0,1738
L2401803183,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2401803636,【e-text】English Advantage Ｌｅｖｅｌ 6,General English,Level 6,1733
L2401804090,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2401804150,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
L2401804390,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2401804392,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2401804518,【e-text】English Advantage Ｌｅｖｅｌ 5,General English,Level 5,1732
L2401805192,【e-text】English Advantage Ｌｅｖｅｌ 4,General English,Level 4,1731
L2401805205,【e-text】【BC】English Advantage Ｌｅｖｅｌ 1,General English,Level 1,1728
L2401806195,【e-text】English Advantage Ｌｅｖｅｌ 3,General English,Level 3,1730
L2401807427,【e-text】English Advantage Ｌｅｖｅｌ 2,General English,Level 2,1729
