,student_id,cefr_rate,passed_count,failed_count,attempts_count,pass_score,total_problems_given
118,958,0.0,15.0,205.0,1.0,10.714285714285714,235
119,977,0.0,27.0,126.0,1.5833333333333333,20.776249999999997,196
120,980,0.0,18.0,134.0,1.0769230769230769,18.688333333333333,207
121,981,0.0,46.0,157.0,1.7058823529411764,21.616153846153846,297
122,986,0.0,0.0,0.0,1.0,,20
123,987,18.87626535526488,19.0,56.0,1.1666666666666667,19.0,120
124,996,0.0,0.0,0.0,1.0,,16
125,998,0.0,25.0,78.0,1.6,22.5,159
126,1024,0.0,0.0,0.0,1.0,,17
127,1033,0.0,7.0,92.0,1.0,8.69,121
128,1042,29.540776655530763,156.0,668.0,1.3958333333333333,20.695531914893614,802
129,1046,22.210285823039023,97.0,403.0,1.72,19.4,500
130,1049,82.7886083018475,2.0,49.0,1.0,6.904999999999999,50
131,1056,24.11,1.0,16.0,1.0,5.88,17
132,1060,26.2472949194877,15.0,197.0,1.1333333333333333,8.940000000000001,251
133,1074,0.0,0.0,4.0,1.0,,72
134,1075,0.0,1.0,0.0,1.0,8.33,12
135,1076,24.999999999999996,0.0,2.0,1.0,,20
136,1083,24.999999999999996,0.0,1.0,1.0,,20
137,1151,67.14128868475558,24.0,341.0,1.12,12.022727272727273,365
138,1152,40.609460355536484,46.0,308.0,1.391304347826087,12.655909090909091,362
139,1153,0.0,0.0,0.0,1.0,,62
140,1154,73.74664484717847,13.0,433.0,1.03125,8.559999999999999,446
141,1155,45.27585921582141,93.0,646.0,1.558139534883721,13.541515151515151,739
142,1156,0.0,8.0,50.0,1.0,10.6375,141
143,1157,61.21505411566184,54.0,531.0,1.2222222222222223,14.247894736842104,585
144,1158,0.0,31.0,330.0,1.28,12.239333333333333,383
145,1159,0.0,9.0,46.0,1.2,11.25,87
146,1160,63.174290468334405,36.0,445.0,1.1515151515151516,12.148333333333333,481
147,1161,48.228298818788986,83.0,529.0,1.55,16.562666666666665,613
148,1162,55.756833214880714,47.0,432.0,1.09375,12.94090909090909,479
149,1163,0.0,21.0,270.0,1.0,13.853,313
150,1164,39.06599214418685,7.0,47.0,1.0,12.549999999999999,57
151,1165,62.41823338563581,48.0,428.0,1.2857142857142858,12.393333333333333,476
152,1166,46.83857601647875,55.0,381.0,1.2333333333333334,12.714814814814815,455
153,1167,69.97005677195673,26.0,447.0,1.03125,10.334666666666667,473
154,1168,78.92833148412603,14.0,467.0,1.0,8.748888888888889,481
155,1169,69.86914764422447,14.0,359.0,1.0,6.5600000000000005,403
156,1170,0.0,39.0,378.0,1.0689655172413792,12.044285714285715,431
157,1171,65.14001707055981,49.0,496.0,1.457142857142857,12.548571428571428,545
158,1172,0.0,19.0,420.0,1.0,7.857333333333333,454
159,1173,0.0,35.0,286.0,1.0869565217391304,11.41263157894737,361
160,1174,0.0,32.0,371.0,1.0,13.113333333333333,418
161,1175,48.0197882977019,44.0,399.0,1.206896551724138,11.801363636363636,457
162,1176,57.16394380473834,35.0,427.0,1.1935483870967742,10.622,462
163,1177,53.401005751300126,53.0,416.0,1.0,12.629999999999999,501
164,1178,0.0,53.0,444.0,1.0980392156862746,9.738235294117647,786
165,1180,0.0,1.0,0.0,1.0,8.33,51
166,1181,0.0,2.0,4.0,1.0,6.545,155
167,1184,0.0,0.0,0.0,1.0,,20
168,1186,0.0,0.0,0.0,1.0,,15
169,1189,56.871586513838615,56.0,543.0,1.0,13.493913043478262,598
170,1190,0.0,30.0,89.0,1.1666666666666667,33.166,114
171,1191,24.999999999999996,0.0,4.0,1.0,,18
172,1192,28.37701987516826,31.0,102.0,1.1428571428571428,22.937142857142856,136
173,1193,26.26517667963871,17.0,59.0,1.0,21.6675,78
174,1195,0.0,20.0,58.0,1.0,25.14,116
175,1197,48.55082520330652,35.0,209.0,1.0,12.966875,324
176,1198,24.999999999999996,0.0,1.0,1.0,,18
177,1199,18.75,1.0,2.0,1.0,5.56,18
178,1200,0.0,4.0,11.0,1.0,12.155,34
179,1201,0.0,20.0,72.0,1.0,25.0,96
180,1202,0.0,17.0,245.0,1.0,9.567,329
181,1203,24.999999999999996,0.0,3.0,1.0,,18
182,1204,16.67,2.0,2.0,1.0,11.11,18
183,1205,0.0,46.0,181.0,1.5384615384615385,24.402,234
184,1206,0.0,19.0,160.0,1.0,11.99,262
185,1207,0.0,29.0,66.0,1.8,36.25,96
186,1208,0.0,15.0,83.0,1.0,12.87,147
187,1209,0.0,0.0,2.0,1.0,,101
188,1213,35.69639899649317,58.0,783.0,1.1020408163265305,11.313333333333333,845
189,1214,0.0,70.0,394.0,1.2857142857142858,13.076896551724138,655
190,1215,0.0,58.0,318.0,1.1724137931034482,12.857142857142858,557
191,1216,30.68479076047476,108.0,729.0,1.2653061224489797,14.878536585365854,838
192,1217,0.0,62.0,529.0,1.1944444444444444,12.085333333333333,653
193,1218,0.0,65.0,497.0,1.170731707317073,11.59,720
194,1219,0.0,26.0,257.0,1.0,8.778,547
195,1220,0.0,69.0,259.0,1.0689655172413792,15.434782608695652,529
196,1221,0.0,61.0,325.0,1.1071428571428572,14.167272727272728,532
197,1222,0.0,73.0,464.0,1.0526315789473684,14.428275862068967,699
198,1223,0.0,66.0,248.0,1.173913043478261,15.318095238095239,457
199,1224,0.0,74.0,850.0,1.1428571428571428,11.445833333333333,953
200,1225,0.0,75.0,469.0,1.1142857142857143,13.058666666666666,681
201,1226,24.408091683886802,85.0,554.0,1.25,14.2765625,684
202,1227,0.0,84.0,347.0,1.5555555555555556,16.794615384615387,527
203,1228,0.0,65.0,404.0,1.09375,13.7328,617
204,1229,0.0,113.0,558.0,1.1904761904761905,17.830285714285715,774
205,1230,0.0,45.0,165.0,1.05,17.692307692307693,375
206,1231,0.0,122.0,671.0,1.1568627450980393,16.788,873
207,1232,0.0,62.0,454.0,1.125,12.09888888888889,594
208,1233,0.0,76.0,276.0,1.0333333333333334,14.97,582
209,1234,0.0,64.0,378.0,1.1,12.777407407407408,554
210,1235,0.0,71.0,433.0,1.34375,13.863703703703704,601
211,1236,0.0,42.0,232.0,1.0434782608695652,12.129444444444443,427
212,1237,0.0,55.0,171.0,1.04,14.285714285714286,464
213,1238,0.0,61.0,292.0,1.3235294117647058,15.0,659
214,1239,0.0,73.0,406.0,1.2903225806451613,14.9332,610
215,1241,0.0,1.0,22.0,1.0833333333333333,5.0,227
216,1242,23.60284801857587,91.0,490.0,1.2647058823529411,15.161612903225807,664
217,1243,0.0,47.0,219.0,1.1428571428571428,13.235294117647058,415
218,1244,24.83370436886571,109.0,604.0,1.2820512820512822,15.705789473684211,720
219,1245,0.0,93.0,342.0,1.1875,17.715555555555554,614
220,1246,0.0,94.0,679.0,1.24,14.1725,857
221,1247,0.0,89.0,821.0,1.2181818181818183,12.73975,927
222,1248,0.0,114.0,795.0,1.3571428571428572,14.298936170212764,925
223,1249,0.0,75.0,365.0,1.2857142857142858,16.6664,535
224,1250,0.0,67.0,439.0,1.1282051282051282,12.110666666666667,701
225,1251,0.0,95.0,551.0,1.2972972972972974,16.48258064516129,692
226,1252,0.0,64.0,455.0,1.0606060606060606,11.964285714285714,629
227,1253,0.0,128.0,414.0,2.4242424242424243,20.794838709677418,776
228,1254,0.0,53.0,195.0,1.16,13.999500000000001,484
229,1255,0.0,79.0,601.0,1.1944444444444444,13.95032258064516,695
230,1256,0.0,66.0,436.0,1.1428571428571428,14.927391304347825,657
231,1257,25.679049792072828,115.0,534.0,2.4411764705882355,18.96548387096774,667
232,1258,0.0,104.0,311.0,1.1724137931034482,20.494074074074074,567
233,1259,0.0,82.0,332.0,1.2333333333333334,16.34653846153846,567
234,1260,0.0,79.0,556.0,1.173913043478261,13.636060606060607,811
235,1261,0.0,75.0,339.0,1.25,15.902916666666668,530
236,1262,0.0,72.0,322.0,1.1666666666666667,13.888518518518518,587
237,1263,0.0,95.0,697.0,1.1886792452830188,14.574736842105263,884
238,1264,0.0,48.0,417.0,1.1379310344827587,10.797391304347826,575
239,1265,0.0,64.0,340.0,1.4,16.8335,486
240,1266,0.0,61.0,380.0,1.2,11.666296296296297,577
241,1267,0.0,130.0,312.0,1.3902439024390243,19.82,700
242,1268,0.0,57.0,363.0,1.1612903225806452,12.826521739130435,579
243,1269,0.0,4.0,12.0,1.0,12.5,35
244,1270,0.0,3.0,29.0,1.0,6.109999999999999,142
245,1273,0.0,47.0,329.0,1.1923076923076923,13.095714285714285,510
246,1274,0.0,90.0,313.0,1.5757575757575757,21.436,600
247,1275,0.0,60.0,383.0,1.7575757575757576,15.3356,621
248,1276,32.10085347679488,153.0,786.0,2.176470588235294,16.873124999999998,949
249,1278,0.0,42.0,604.0,1.0789473684210527,11.468260869565217,703
250,1279,0.0,49.0,190.0,1.2380952380952381,15.882,353
251,1280,42.5811396206213,44.0,713.0,1.1363636363636365,10.54653846153846,757
252,1281,0.0,64.0,810.0,1.148936170212766,12.816666666666666,893
253,1282,0.0,59.0,342.0,1.3666666666666667,16.183636363636364,578
254,1283,0.0,60.0,599.0,1.2162162162162162,12.855357142857143,714
255,1284,37.36571839495458,76.0,733.0,1.3478260869565217,13.924242424242424,833
256,1285,42.176165299374944,61.0,763.0,1.1627906976744187,15.282083333333333,824
257,1286,30.72604990468951,97.0,763.0,2.061224489795918,15.669142857142855,874
258,1287,0.0,84.0,196.0,1.3666666666666667,22.423636363636362,620
259,1288,36.66902402691371,70.0,727.0,1.1914893617021276,11.18025,796
260,1289,0.0,60.0,544.0,1.2391304347826086,12.102758620689656,800
261,1290,0.0,47.0,174.0,1.037037037037037,13.182272727272727,502
262,1291,0.0,79.0,652.0,1.6862745098039216,13.624473684210527,875
263,1292,0.0,1.0,31.0,1.0,8.33,52
264,1293,0.0,107.0,666.0,1.7692307692307692,15.338863636363635,952
265,1295,0.0,3.0,14.0,1.0,25.0,141
266,1296,0.0,74.0,150.0,1.3181818181818181,25.00052631578947,356
267,1297,0.0,52.0,318.0,1.2916666666666667,16.32,437
268,1298,0.0,59.0,498.0,1.2432432432432432,15.791363636363634,773
269,1299,0.0,22.0,252.0,1.0,5.500952380952381,545
270,1300,0.0,26.0,425.0,1.1851851851851851,10.127999999999998,542
271,1301,37.45571664608387,101.0,780.0,1.469387755102041,14.976857142857144,912
272,1302,0.0,38.0,186.0,1.32,10.23904761904762,447
273,1303,0.0,53.0,154.0,1.3043478260869565,17.281578947368423,402
274,1304,0.0,60.0,586.0,1.0731707317073171,13.220689655172412,721
275,1305,0.0,38.0,120.0,1.6875,16.30857142857143,270
276,1306,0.0,55.0,439.0,1.5142857142857142,15.614761904761906,656
277,1307,38.010667964493805,80.0,376.0,1.4615384615384615,16.534285714285716,528
278,1308,38.23124789756788,31.0,322.0,1.3076923076923077,9.916500000000001,468
279,1309,0.0,23.0,110.0,1.0,10.918333333333335,396
280,1310,0.0,31.0,219.0,1.0833333333333333,9.083499999999999,435
281,1311,0.0,31.0,246.0,1.2083333333333333,12.704666666666666,417
282,1312,33.08624616776432,67.0,742.0,1.3658536585365855,11.04,809
283,1313,0.0,15.0,194.0,1.0,5.890666666666666,465
284,1314,0.0,50.0,248.0,1.3043478260869565,15.4745,396
285,1315,0.0,45.0,33.0,1.0,16.110555555555557,321
286,1316,0.0,49.0,465.0,1.0303030303030303,9.742962962962963,626
287,1318,0.0,3.0,3.0,1.0,15.0,70
288,1319,0.0,58.0,448.0,1.4827586206896552,12.714761904761904,629
289,1320,0.0,49.0,396.0,1.2307692307692308,15.29388888888889,549
290,1321,0.0,94.0,683.0,1.4634146341463414,13.876285714285714,803
291,1322,48.35371234474854,28.0,641.0,1.0,9.35,669
292,1323,0.0,40.0,365.0,1.32,10.949545454545454,443
293,1324,0.0,28.0,190.0,1.1363636363636365,10.83375,390
294,1325,0.0,28.0,310.0,1.04,9.298947368421054,447
295,1326,0.0,51.0,209.0,1.0,16.490526315789474,412
296,1327,0.0,62.0,403.0,1.206896551724138,16.15714285714286,599
297,1328,0.0,95.0,429.0,1.6578947368421053,18.216875,743
298,1331,0.0,27.0,489.0,1.032258064516129,10.084117647058823,574
299,1332,0.0,35.0,262.0,1.3478260869565217,10.333809523809524,411
300,1333,0.0,51.0,522.0,1.135135135135135,11.671111111111111,666
301,1335,0.0,44.0,403.0,1.0666666666666667,11.375454545454545,588
302,1336,25.92635762687392,7.0,28.0,1.4,9.002,82
303,1337,50.580237362215314,37.0,736.0,1.0930232558139534,10.842380952380953,773
304,1338,0.0,24.0,216.0,1.1666666666666667,9.143333333333334,470
305,1339,55.27175153827686,19.0,649.0,1.0,8.221333333333332,668
306,1340,0.0,37.0,108.0,1.0833333333333333,10.916,402
307,1342,0.0,0.0,1.0,1.0,,184
308,1373,49.99999999999999,0.0,1.0,1.0,,13
309,1422,0.0,86.0,230.0,1.064516129032258,16.53846153846154,620
310,1423,18.14859504083824,148.0,257.0,1.125,25.517241379310345,640
311,1424,0.0,96.0,557.0,1.0810810810810811,14.0,730
312,1425,0.0,131.0,326.0,1.162162162162162,22.18433333333333,728
313,1426,20.373439196740513,157.0,633.0,2.697674418604651,20.0,790
314,1427,16.617658757177225,157.0,282.0,1.3235294117647058,25.322580645161292,670
315,1428,0.0,64.0,172.0,1.0285714285714285,11.851851851851851,700
316,1429,0.0,147.0,1046.0,1.0923076923076922,13.85,1203
317,1430,20.231988721466823,126.0,544.0,1.5277777777777777,19.09090909090909,720
318,1431,21.51498431994418,99.0,670.0,1.2790697674418605,14.601428571428572,798
319,1432,0.0,169.0,415.0,1.2926829268292683,22.375,760
320,1433,19.15999518379651,122.0,328.0,1.2222222222222223,20.5,710
321,1434,18.72092339405731,83.0,344.0,1.2424242424242424,14.310344827586206,660
322,1435,20.40796131278651,67.0,201.0,1.0952380952380953,17.63157894736842,420
323,1436,0.0,142.0,620.0,1.673913043478261,18.01325,901
324,1437,0.0,109.0,343.0,1.088235294117647,17.03125,680
325,1438,18.054679189394847,77.0,165.0,1.0454545454545454,20.263157894736842,440
326,1439,21.101081468850904,186.0,1127.0,1.4929577464788732,15.82174603174603,1312
327,1440,19.607529606483208,88.0,379.0,1.121212121212121,14.193548387096774,660
328,1441,0.0,143.0,436.0,1.5277777777777777,21.029411764705884,712
329,1442,22.85405073376223,111.0,1201.0,1.0845070422535212,10.863090909090909,1312
330,1443,0.0,88.0,314.0,1.2258064516129032,17.6,620
331,1444,20.185305565192476,120.0,389.0,1.1176470588235294,19.35483870967742,680
332,1445,18.095381398413167,132.0,430.0,1.7142857142857142,19.41176470588235,700
333,1446,20.719252727670924,63.0,362.0,1.1290322580645162,12.6,620
334,1447,21.49697943594647,41.0,238.0,1.0,8.2,640
335,1448,0.0,48.0,201.0,1.0714285714285714,11.428571428571429,560
336,1449,0.0,108.0,339.0,1.5294117647058822,19.285714285714285,680
337,1450,22.240896360448236,77.0,613.0,1.0555555555555556,13.275862068965518,720
338,1451,0.0,158.0,376.0,1.9166666666666667,24.6875,720
339,1452,20.45047872067598,196.0,1128.0,1.5555555555555556,15.519420289855072,1324
340,1453,0.0,160.0,846.0,1.423728813559322,14.696071428571429,1134
341,1454,20.121801308501013,71.0,205.0,1.0689655172413792,13.653846153846153,580
342,1455,21.283809279992138,148.0,691.0,1.6304347826086956,17.805,855
343,1457,0.0,0.0,1.0,1.0,,80
344,1527,0.0,143.0,363.0,1.4545454545454546,21.868787878787877,652
345,1528,21.144885395723993,187.0,1074.0,1.6470588235294117,16.164032258064516,1261
346,1529,0.0,125.0,371.0,1.5294117647058822,18.939393939393938,680
347,1530,0.0,127.0,403.0,1.5294117647058822,19.242424242424242,680
348,1531,17.881786101715225,124.0,340.0,1.1935483870967742,22.962962962962962,620
349,1532,23.68603218196557,70.0,674.0,1.05,11.3540625,763
350,1533,0.0,128.0,655.0,1.3409090909090908,16.869756097560973,794
351,1534,22.277579680866662,146.0,1127.0,1.3043478260869565,13.747586206896552,1273
352,1535,20.381807187507516,116.0,455.0,1.2424242424242424,20.0,660
353,1536,21.695412558590313,149.0,555.0,2.9722222222222223,20.833333333333332,710
354,1537,19.180455419053093,145.0,503.0,2.1714285714285713,21.323529411764707,700
355,1538,0.0,159.0,370.0,1.6216216216216217,26.93548387096774,710
356,1539,16.923379013148743,163.0,376.0,1.2058823529411764,25.46875,680
357,1541,18.17614886426597,100.0,392.0,1.4827586206896552,17.857142857142858,580
358,1542,0.0,111.0,357.0,1.1875,19.137931034482758,640
359,1543,18.980126958814367,8.0,18.0,2.3333333333333335,13.333333333333334,60
360,1544,20.999766902531583,185.0,1016.0,1.596774193548387,16.196610169491525,1201
361,1545,0.0,81.0,262.0,1.1071428571428572,16.2,550
362,1546,18.309495564661177,140.0,424.0,1.6470588235294117,21.96969696969697,670
363,1547,0.0,110.0,282.0,1.3823529411764706,18.333333333333332,680
364,1548,20.187441257311296,124.0,522.0,1.3714285714285714,17.714285714285715,700
365,1550,0.0,0.0,1.0,1.0,,40
366,1551,22.840714972643916,110.0,1128.0,1.0597014925373134,12.225510204081631,1238
367,1552,0.0,136.0,486.0,1.2777777777777777,21.25,710
368,1553,18.237277615087688,118.0,424.0,1.1428571428571428,17.87878787878788,700
369,1554,0.0,107.0,640.0,1.25,14.143076923076924,777
370,1555,20.395050120536713,130.0,613.0,1.65,18.157894736842106,759
371,1556,0.0,96.0,405.0,1.411764705882353,16.555666666666667,662
372,1557,0.0,148.0,364.0,1.3714285714285714,23.870967741935484,690
373,1558,0.0,136.0,559.0,1.3478260869565217,19.369999999999997,839
374,1559,20.882948695667572,96.0,587.0,1.4166666666666667,14.545454545454545,710
375,1561,0.0,134.0,661.0,1.6304347826086956,17.61325581395349,846
376,1562,18.174687709038217,183.0,396.0,1.2571428571428571,27.828181818181818,692
377,1563,22.02759680877328,136.0,1073.0,1.1818181818181819,13.299636363636363,1216
378,1564,0.0,127.0,646.0,1.5348837209302326,15.584146341463416,852
379,1565,19.276460613980422,59.0,185.0,1.0476190476190477,14.75,420
380,1566,0.0,145.0,432.0,1.8108108108108107,21.323529411764707,722
381,1567,22.382772004831626,127.0,1115.0,1.3432835820895523,12.784339622641507,1242
382,1568,0.0,119.0,841.0,1.2545454545454546,13.40787234042553,1019
383,1569,0.0,180.0,512.0,1.5,24.25,770
384,1570,20.969117709023756,191.0,1051.0,1.4776119402985075,16.091875,1242
385,1571,20.56553548232681,95.0,591.0,1.4615384615384615,14.142857142857142,740
386,1573,22.599825021492542,116.0,1126.0,1.1194029850746268,11.12421052631579,1242
387,1575,0.0,0.0,2.0,1.0,,60
388,1576,0.0,108.0,355.0,1.121212121212121,16.363636363636363,660
389,1577,0.0,119.0,290.0,1.0333333333333334,21.25,600
390,1578,20.734271233351784,70.0,287.0,1.0714285714285714,13.461538461538462,560
391,1579,0.0,89.0,348.0,1.125,14.724666666666668,643
392,1580,0.0,46.0,629.0,1.027027027027027,10.144782608695653,724
393,1581,0.0,62.0,296.0,1.03125,11.071428571428571,640
394,1582,0.0,107.0,626.0,1.275,16.7425,771
395,1583,21.04085126893567,100.0,389.0,1.1818181818181819,18.51851851851852,660
396,1584,0.0,69.0,210.0,1.0,12.777777777777779,620
397,1585,22.382009563060915,75.0,639.0,1.0833333333333333,13.455714285714285,717
398,1586,0.0,55.0,340.0,1.0303030303030303,9.821428571428571,660
399,1587,20.806268150808634,115.0,569.0,1.3157894736842106,17.76,741
400,1588,0.0,112.0,247.0,1.1785714285714286,23.333333333333332,560
401,1589,0.0,139.0,325.0,1.09375,23.96551724137931,640
402,1590,0.0,85.0,404.0,1.1612903225806452,15.74074074074074,620
403,1591,20.795298000031146,106.0,400.0,1.2258064516129032,18.275862068965516,620
404,1592,0.0,174.0,210.0,1.15625,31.071428571428573,632
405,1593,0.0,85.0,449.0,1.2571428571428571,14.166666666666666,689
406,1594,21.555847202104545,78.0,521.0,1.2424242424242424,12.580645161290322,660
407,1595,20.446686882700877,75.0,375.0,1.15625,15.625,640
408,1596,0.0,123.0,590.0,1.5,16.983947368421052,749
409,1597,0.0,113.0,320.0,1.1176470588235294,18.833333333333332,672
410,1598,19.006904655098268,113.0,337.0,1.0666666666666667,20.178571428571427,600
411,1599,0.0,47.0,291.0,1.0,10.681818181818182,600
412,1600,19.398295592264873,91.0,229.0,1.0,16.85185185185185,620
413,1601,0.0,65.0,290.0,1.1515151515151516,13.541666666666666,660
414,1602,22.295145754084317,79.0,441.0,1.1818181818181819,14.62962962962963,660
415,1603,0.0,112.0,234.0,1.09375,20.74074074074074,640
416,1604,22.58712636592915,73.0,490.0,1.0,12.586206896551724,640
417,1605,0.0,97.0,480.0,1.2857142857142858,16.65655172413793,695
418,1606,21.618268528721895,94.0,340.0,1.1818181818181819,16.785714285714285,660
419,1607,0.0,112.0,560.0,1.2777777777777777,16.96969696969697,712
420,1609,0.0,0.0,1.0,1.0,,60
421,1610,21.05813607626607,104.0,588.0,1.3055555555555556,15.93878787878788,709
422,1611,22.16336035515003,74.0,544.0,1.09375,14.8,640
423,1612,0.0,101.0,769.0,1.2156862745098038,13.9525,896
424,1613,20.97154409874664,88.0,397.0,1.4242424242424243,16.923076923076923,660
425,1614,0.0,97.0,530.0,1.1081081081081081,15.866451612903226,713
426,1615,21.909913205817112,96.0,393.0,1.1515151515151516,17.142857142857142,660
427,1616,0.0,105.0,343.0,1.303030303030303,19.444444444444443,652
428,1617,21.4495102731124,108.0,712.0,1.4444444444444444,14.815999999999999,820
429,1618,0.0,93.0,604.0,1.2432432432432432,13.872352941176471,716
430,1619,25.30729306128026,98.0,820.0,1.1886792452830188,13.42225,925
431,1620,21.25942019893022,105.0,590.0,1.3142857142857143,15.519117647058822,697
432,1622,23.047800378202524,157.0,828.0,1.3448275862068966,17.01222222222222,990
433,1623,21.799143301221477,74.0,466.0,1.09375,14.8,640
434,1624,0.0,80.0,739.0,1.1875,12.218684210526316,856
435,1625,0.0,74.0,523.0,1.0909090909090908,14.8,652
436,1626,0.0,69.0,339.0,1.088235294117647,13.26923076923077,672
437,1627,19.547164228983686,147.0,453.0,1.2941176470588236,21.61764705882353,680
438,1628,21.330927103475492,85.0,563.0,1.2222222222222223,13.8296875,701
439,1629,0.0,89.0,407.0,1.1764705882352942,16.48148148148148,677
440,1630,0.0,124.0,810.0,1.3571428571428572,14.906382978723405,966
441,1632,0.0,0.0,1.0,1.0,,40
442,1633,0.0,72.0,673.0,1.0731707317073171,14.015555555555556,769
443,1634,0.0,103.0,438.0,1.5,16.40625,672
444,1635,19.707232354315522,175.0,838.0,1.6779661016949152,18.055636363636363,1015
445,1636,0.0,110.0,498.0,1.3611111111111112,17.1671875,715
446,1637,0.0,147.0,546.0,1.3518518518518519,17.365416666666665,936
447,1638,18.72579356201672,159.0,281.0,1.0303030303030303,24.84375,660
448,1639,25.276754262970076,121.0,778.0,1.3018867924528301,14.717173913043478,917
449,1640,22.514940407163962,63.0,597.0,1.1891891891891893,12.037037037037036,724
450,1641,0.0,105.0,377.0,1.2647058823529411,18.73392857142857,682
451,1642,0.0,108.0,429.0,1.1470588235294117,17.84935483870968,672
452,1643,0.0,86.0,450.0,1.4857142857142858,15.2146875,641
453,1644,20.799220705180968,79.0,291.0,1.0416666666666667,17.17391304347826,480
454,1646,0.0,141.0,452.0,1.325,22.034848484848485,757
455,1647,0.0,117.0,535.0,1.7222222222222223,17.205882352941178,717
456,1648,27.434933657636797,96.0,868.0,1.0909090909090908,12.593636363636364,964
457,1649,28.631371164160605,120.0,871.0,1.2982456140350878,12.804117647058824,991
458,1650,0.0,126.0,651.0,1.489795918367347,16.48707317073171,876
459,1651,22.38930192531653,54.0,372.0,1.0,11.25,680
460,1652,0.0,91.0,591.0,1.302325581395349,13.279714285714286,788
461,1653,0.0,42.0,282.0,1.0,11.052631578947368,552
462,1654,0.0,154.0,219.0,1.0625,24.838709677419356,640
463,1656,0.0,0.0,0.0,1.0,,60
