"user_id","group_id","lesson_id","skill_type","value"
1289,1235,1052,reading,50.0
1300,1236,1052,reading,16.67
1300,1236,1052,speaking,43.75
1300,1236,1052,listening,25.0
1300,1236,1052,writing,25.0
1311,1236,1052,reading,50.0
1311,1236,1052,listening,75.0
1311,1236,1052,writing,100.0
1314,1236,1052,reading,16.67
1314,1236,1052,speaking,25.0
1314,1236,1052,writing,16.67
1314,1236,1052,listening,41.67
1307,1236,1052,speaking,25.0
1307,1236,1052,writing,25.0
1308,1236,1052,speaking,50.0
1304,1236,1052,reading,50.0
1304,1236,1052,speaking,25.0
1304,1236,1052,listening,25.0
1304,1236,1052,writing,50.0
1302,1236,1052,speaking,50.0
1302,1236,1052,writing,75.0
1299,1236,1052,reading,50.0
1316,1236,1052,writing,50.0
1316,1236,1052,reading,66.67
1316,1236,1052,listening,58.33
1316,1236,1052,speaking,75.0
1306,1236,1052,speaking,25.0
1306,1236,1052,listening,12.5
1306,1236,1052,reading,25.0
1303,1236,1052,speaking,50.0
1303,1236,1052,reading,50.0
1298,1236,1052,writing,41.67
1298,1236,1052,reading,50.0
1298,1236,1052,speaking,0.0
1298,1236,1052,listening,25.0
1297,1236,1052,listening,20.83
1297,1236,1052,speaking,8.33
1297,1236,1052,writing,25.0
1297,1236,1052,reading,25.0
1296,1236,1052,reading,25.0
1284,1235,285,writing,81.25
1161,1162,266,writing,87.5
1799,1355,150,writing,50.0
1799,1355,150,listening,62.5
1189,1221,217,listening,87.5
1155,1161,241,writing,47.92
1155,1161,193,writing,58.33
1155,1161,193,listening,54.17
1189,1221,721,reading,50.0
1189,1221,721,writing,85.71
1189,1221,721,listening,100.0
1189,1221,721,speaking,100.0
1155,1161,264,writing,70.83
1155,1161,266,writing,87.5
1155,1161,173,listening,68.75
1155,1161,175,writing,87.5
1155,1161,316,writing,28.57
1155,1161,316,listening,23.21
1155,1161,316,reading,25.0
1154,1161,176,listening,83.33
1154,1161,895,listening,87.5
1154,1161,895,writing,75.0
1154,1161,895,speaking,100.0
1154,1161,895,reading,100.0
1170,1164,738,reading,33.33
1170,1164,738,writing,25.0
1170,1164,738,listening,33.33
1170,1164,738,speaking,25.0
1166,1163,175,writing,52.08
1166,1163,264,writing,52.08
1166,1163,258,writing,68.75
1166,1163,258,speaking,33.33
1166,1163,258,reading,50.0
1166,1163,241,writing,45.83
1170,1164,316,writing,32.14
1170,1164,316,listening,26.79
1170,1164,316,reading,50.0
1166,1163,893,speaking,20.83
1166,1163,893,reading,25.0
1166,1163,893,listening,33.33
1166,1163,893,writing,25.0
481,1231,234,listening,87.5
481,1231,235,listening,87.5
481,1231,237,listening,70.0
481,1231,237,writing,100.0
1213,1232,152,reading,28.85
1213,1232,152,listening,35.71
1239,1232,1049,listening,0.0
1239,1232,1049,writing,8.33
1239,1232,1049,reading,25.0
1229,1232,1049,reading,33.33
1229,1232,1049,writing,33.33
1229,1232,1049,listening,41.67
1229,1232,1049,speaking,8.33
1233,1232,1049,writing,25.0
1235,1232,1049,speaking,50.0
1235,1232,1049,listening,62.5
